Radius (arcmin),Radius (kpc),Frequency (MHz),Error Δf,Velocity (km/s),Error Δv
25,5.68,1421.521,0.0843,235.5,17.8
30,6.81,1421.556,0.0038,242.9,0.8
35,7.95,1421.595,0.0033,251.1,0.7
40,9.08,1421.646,0.0099,262,2.1
45,10.22,1421.632,0.0327,258.9,6.9
50,11.35,1421.614,0.0270,255.1,5.7
55,12.49,1421.598,0.0810,251.8,17.1
60,13.62,1421.600,0.0350,252.1,7.4
65,14.76,1421.594,0.0881,251,18.6
70,15.89,1421.568,0.1364,245.5,28.8
75,17.03,1421.508,0.0047,232.8,1
80,18.16,1421.504,0.0672,232,14.2
85,19.3,1421.522,0.0218,235.7,4.6
90,20.43,1421.472,0.0653,225.147,13.8
94.5,21.45,1421.457,0.1364,221.979,28.8
99,22.47,1421.450,0.1364,220.500,28.8
103.5,23.5,1421.448,0.1364,220.078,28.8
108,24.52,1421.453,0.1364,221.134,28.8
112.5,25.54,1421.455,0.1364,221.556,28.8
117,26.56,1421.448,0.1364,220.078,28.8
121.5,27.58,1421.440,0.1364,218.388,28.8
126,28.6,1421.430,0.1364,216.276,28.8
130.5,29.62,1421.428,0.1364,215.854,28.8
135,30.65,1421.444,0.1364,219.233,28.8
139.5,31.67,1421.460,0.1364,222.612,28.8
144,32.69,1421.470,0.1364,224.724,28.8
148.5,33.71,1421.465,0.1364,223.668,28.8
153,34.73,1421.440,0.1364,218.388,28.8
